Length_Bytes,Alignment_Bytes,Alpha_Percent,Time_Serial_ns,Time_SIMD_ns
394619,1,90,421774,18089
394619,1,100,181938,9079
509033,32,0,257855,14458
509033,32,10,532193,17879
509033,32,20,797451,10896
509033,32,30,1094627,10476
509033,32,40,1432801,12501
509033,32,50,1588687,10895
509033,32,60,1426585,12781
509033,32,70,1078355,11594
509033,32,80,775102,13479
509033,32,90,504885,13340
509033,32,100,241652,12502
509033,1,0,241373,20254
509033,1,10,747235,14387
509033,1,20,816518,18019
509033,1,30,1095187,12083
509033,1,40,1415550,13898
509033,1,50,1581354,12502
509033,1,60,1654548,17740
509033,1,70,1086038,16273
509033,1,80,782156,12362
509033,1,90,526327,13060
509033,1,100,274757,16203
656620,32,0,393208,31709
656620,32,10,650086,30311
656620,32,20,1001529,29543
656620,32,30,1411988,27378
656620,32,40,1846333,47003
656620,32,50,2043776,29612
656620,32,60,1778866,33105
656620,32,70,1470515,29543
656620,32,80,990703,29124
656620,32,90,692968,45187
656620,32,100,305907,29613
656620,1,0,311075,31988
656620,1,10,651692,30032
656620,1,20,1018919,35759
656620,1,30,1388521,30102
656620,1,40,1812041,38273
656620,1,50,2309662,29543
656620,1,60,1817558,31010
656620,1,70,1405912,40858
656620,1,80,1012214,29124
656620,1,90,797870,46655
656620,1,100,308700,30521
846999,32,0,434764,39950
846999,32,10,860379,39111
846999,32,20,1293886,38203
846999,32,30,1806593,38553
846999,32,40,2357155,37785
846999,32,50,2651817,41067
846999,32,60,2352336,39880
846999,32,70,1757215,41137
846999,32,80,1408077,52381
846999,32,90,855141,37714
846999,32,100,401589,37575
846999,1,0,401310,48470
846999,1,10,855909,38343
846999,1,20,1278311,47144
846999,1,30,1802961,38064
846999,1,40,2334525,38553
846999,1,50,2629747,46864
846999,1,60,2359459,38204
846999,1,70,1753863,40997
846999,1,80,1277612,40089
846999,1,90,861427,38133
846999,1,100,400612,38552
1092574,32,0,516618,53359
1092574,32,10,1088481,69283
1092574,32,20,1658739,55245
1092574,32,30,2614870,55734
1092574,32,40,3023792,57061
1092574,32,50,3383267,53708
1092574,32,60,2972599,82413
1092574,32,70,2277326,46375
1092574,32,80,1678853,51474
1092574,32,90,1083173,48470
1092574,32,100,520390,48051
1092574,1,0,536035,46305
1092574,1,10,1091834,49028
